Site,All Races,White,Black,API,AI/AN,Hispanic
Female Breast,127.5,130.5,124.0,100.1,79.5,97.2
Colon and rectum,38.6,38.1,44.6,31.8,39.3,33.7
Lung & Bronchus,54.9,56.7,56.2,36.0,37.8,29.1
Prostate,109.5,101.9,176.7,55.6,55.4,93.4
